Email,Issue_Type,Mobile_Number,Description,Priority,Laptop_Brand,Laptop_Model,Issue_Severity,Previous_Repairs,Repair_Time
user2149@test.com,Motherboard and CPU issues,9599271188,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,10
user7183@test.com,Motherboard and CPU issues,6980104983,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user2475@example.com,Storage Device Problems,4670973622,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,7
user7014@email.com,Power Supply Unit and Power Issues,7422304339,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,12
user2868@test.com,Motherboard and CPU issues,3721638561,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user7746@example.com,Power Supply Unit and Power Issues,4175184232,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,12
user3825@email.com,Memory(RAM) problems,7643263822,Battery not charging,No,HP,Pavilion,Major,Yes,5
user4532@test.com,Storage Device Problems,2088306452,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,7
user9009@test.com,Motherboard and CPU issues,6086627633,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,10
user6904@email.com,Power Supply Unit and Power Issues,1773489983,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,1
user5585@example.com,Motherboard and CPU issues,2595428999,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user4511@test.com,Memory(RAM) problems,6751065205,Battery not charging,No,HP,Pavilion,Major,Yes,7
user2881@example.com,Memory(RAM) problems,8944937958,Battery not charging,No,HP,Pavilion,Major,Yes,12
user8967@example.com,Memory(RAM) problems,3772038366,Battery not charging,No,HP,Pavilion,Major,Yes,6
user5942@example.com,Power Supply Unit and Power Issues,6955776529,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user7302@test.com,Memory(RAM) problems,0551561826,Battery not charging,No,HP,Pavilion,Major,Yes,9
user9277@example.com,Motherboard and CPU issues,9512506945,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,10
user7719@example.com,Memory(RAM) problems,5177711711,Battery not charging,No,HP,Pavilion,Major,Yes,6
user7288@test.com,Memory(RAM) problems,4358529360,Battery not charging,No,HP,Pavilion,Major,Yes,6
user6062@test.com,Memory(RAM) problems,8651935400,Battery not charging,No,HP,Pavilion,Major,Yes,7
user5357@example.com,Memory(RAM) problems,5681185272,Battery not charging,No,HP,Pavilion,Major,Yes,13
user7840@example.com,Memory(RAM) problems,8425158509,Battery not charging,No,HP,Pavilion,Major,Yes,7
user1329@test.com,Power Supply Unit and Power Issues,4831489779,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,13
user8643@test.com,Power Supply Unit and Power Issues,5863536778,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user9804@email.com,Motherboard and CPU issues,3255087390,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user7039@test.com,Motherboard and CPU issues,8530948302,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user1831@test.com,Storage Device Problems,9553253573,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,12
user6638@test.com,Memory(RAM) problems,5713565682,Battery not charging,No,HP,Pavilion,Major,Yes,10
user9356@email.com,Memory(RAM) problems,2759413227,Battery not charging,No,HP,Pavilion,Major,Yes,13
user4588@email.com,Motherboard and CPU issues,5253015629,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,3
user5830@email.com,Memory(RAM) problems,1288729339,Battery not charging,No,HP,Pavilion,Major,Yes,13
user9707@test.com,Memory(RAM) problems,4684252299,Battery not charging,No,HP,Pavilion,Major,Yes,12
user1150@email.com,Motherboard and CPU issues,2230749030,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,1
user6055@email.com,Memory(RAM) problems,3402921257,Battery not charging,No,HP,Pavilion,Major,Yes,9
user2399@test.com,Storage Device Problems,8396106683,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,14
user3383@test.com,Power Supply Unit and Power Issues,2522386340,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user8652@email.com,Memory(RAM) problems,5932676637,Battery not charging,No,HP,Pavilion,Major,Yes,6
user9152@test.com,Memory(RAM) problems,5631377102,Battery not charging,No,HP,Pavilion,Major,Yes,6
user9915@example.com,Power Supply Unit and Power Issues,4014738145,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,8
user6794@example.com,Motherboard and CPU issues,5909623595,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,2
user4340@example.com,Memory(RAM) problems,9325674159,Battery not charging,No,HP,Pavilion,Major,Yes,12
user3739@email.com,Motherboard and CPU issues,5632571218,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,1
user5812@test.com,Memory(RAM) problems,1617724657,Battery not charging,No,HP,Pavilion,Major,Yes,8
user2503@example.com,Memory(RAM) problems,3479908777,Battery not charging,No,HP,Pavilion,Major,Yes,2
user7529@example.com,Memory(RAM) problems,9783094579,Battery not charging,No,HP,Pavilion,Major,Yes,10
user8252@test.com,Motherboard and CPU issues,6379898601,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user3151@email.com,Memory(RAM) problems,7807640361,Battery not charging,No,HP,Pavilion,Major,Yes,5
user9146@email.com,Memory(RAM) problems,3570987316,Battery not charging,No,HP,Pavilion,Major,Yes,11
user8083@test.com,Memory(RAM) problems,3569744171,Battery not charging,No,HP,Pavilion,Major,Yes,5
user5244@test.com,Power Supply Unit and Power Issues,5304078181,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,11
user2781@example.com,Graphics card and Display issues,2452106709,,Yes,Apple,MacBook Air,Minor,No,13
user2950@example.com,Motherboard and CPU issues,5241938225,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,11
user2002@email.com,Storage Device Problems,2037059467,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,5
user8441@example.com,Motherboard and CPU issues,7995062526,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,4
user1429@test.com,Power Supply Unit and Power Issues,0345714811,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user7602@example.com,Memory(RAM) problems,2193136680,Battery not charging,No,HP,Pavilion,Major,Yes,4
user4681@test.com,Motherboard and CPU issues,8042177492,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user3417@example.com,Memory(RAM) problems,8224540847,Battery not charging,No,HP,Pavilion,Major,Yes,7
user5080@example.com,Power Supply Unit and Power Issues,1194469733,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user7811@email.com,Memory(RAM) problems,0363807058,Battery not charging,No,HP,Pavilion,Major,Yes,10
user8028@example.com,Memory(RAM) problems,9818063010,Battery not charging,No,HP,Pavilion,Major,Yes,5
user2345@email.com,Storage Device Problems,4554308177,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,6
user7373@email.com,Power Supply Unit and Power Issues,8349961596,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,4
user5267@test.com,Graphics card and Display issues,7255720765,,Yes,Apple,MacBook Air,Minor,No,1
user7652@test.com,Memory(RAM) problems,9734928933,Battery not charging,No,HP,Pavilion,Major,Yes,13
user9045@example.com,Memory(RAM) problems,4482876737,Battery not charging,No,HP,Pavilion,Major,Yes,4
user9673@example.com,Motherboard and CPU issues,1667305206,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user8545@test.com,Graphics card and Display issues,9704408891,,Yes,Apple,MacBook Air,Minor,No,6
user1675@email.com,Memory(RAM) problems,6833299637,Battery not charging,No,HP,Pavilion,Major,Yes,2
user6675@example.com,Power Supply Unit and Power Issues,8328829769,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,1
user1962@example.com,Power Supply Unit and Power Issues,8003886759,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user5855@email.com,Memory(RAM) problems,2643929358,Battery not charging,No,HP,Pavilion,Major,Yes,1
user1016@email.com,Power Supply Unit and Power Issues,1549788587,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,1
user4054@test.com,Memory(RAM) problems,2188787723,Battery not charging,No,HP,Pavilion,Major,Yes,2
user1987@email.com,Memory(RAM) problems,7876005556,Battery not charging,No,HP,Pavilion,Major,Yes,11
user4673@example.com,Motherboard and CPU issues,1052594449,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user6370@test.com,Memory(RAM) problems,9681830083,Battery not charging,No,HP,Pavilion,Major,Yes,6
user2029@email.com,Memory(RAM) problems,5434434886,Battery not charging,No,HP,Pavilion,Major,Yes,4
user2458@test.com,Power Supply Unit and Power Issues,6692044078,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,2
user6067@email.com,Power Supply Unit and Power Issues,2495141676,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,3
user1846@email.com,Memory(RAM) problems,8175030627,Battery not charging,No,HP,Pavilion,Major,Yes,2
user2045@example.com,Power Supply Unit and Power Issues,1499174198,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,8
user6160@email.com,Motherboard and CPU issues,8026644405,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,13
user3616@example.com,Memory(RAM) problems,0096475342,Battery not charging,No,HP,Pavilion,Major,Yes,7
user6224@email.com,Power Supply Unit and Power Issues,8302447567,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,9
user9034@email.com,Motherboard and CPU issues,0422258003,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,4
user8218@test.com,Memory(RAM) problems,7551319049,Battery not charging,No,HP,Pavilion,Major,Yes,3
user9580@example.com,Memory(RAM) problems,8506162778,Battery not charging,No,HP,Pavilion,Major,Yes,15
user6545@email.com,Memory(RAM) problems,0550321457,Battery not charging,No,HP,Pavilion,Major,Yes,5
user8101@test.com,Memory(RAM) problems,1286794970,Battery not charging,No,HP,Pavilion,Major,Yes,1
user4897@email.com,Memory(RAM) problems,1276600574,Battery not charging,No,HP,Pavilion,Major,Yes,8
user9953@test.com,Memory(RAM) problems,7368362737,Battery not charging,No,HP,Pavilion,Major,Yes,9
user7295@test.com,Memory(RAM) problems,4143232865,Battery not charging,No,HP,Pavilion,Major,Yes,12
user4935@email.com,Memory(RAM) problems,2552441101,Battery not charging,No,HP,Pavilion,Major,Yes,9
user8636@email.com,Power Supply Unit and Power Issues,9987178824,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,15
user8294@test.com,Memory(RAM) problems,5915201394,Battery not charging,No,HP,Pavilion,Major,Yes,3
user8462@email.com,Memory(RAM) problems,7463982561,Battery not charging,No,HP,Pavilion,Major,Yes,8
user7269@example.com,Memory(RAM) problems,0699705640,Battery not charging,No,HP,Pavilion,Major,Yes,5
user7595@example.com,Power Supply Unit and Power Issues,3216620641,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user7464@test.com,Power Supply Unit and Power Issues,5826881225,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,6
user1737@example.com,Memory(RAM) problems,0295140923,Battery not charging,No,HP,Pavilion,Major,Yes,14
user1252@test.com,Memory(RAM) problems,3442371169,Battery not charging,No,HP,Pavilion,Major,Yes,2
user3966@test.com,Memory(RAM) problems,3967885402,Battery not charging,No,HP,Pavilion,Major,Yes,14
user6740@email.com,Power Supply Unit and Power Issues,7475025803,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user6951@test.com,Power Supply Unit and Power Issues,5706379544,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,9
user3382@email.com,Power Supply Unit and Power Issues,6409655187,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user1187@email.com,Memory(RAM) problems,1825210150,Battery not charging,No,HP,Pavilion,Major,Yes,6
user3987@test.com,Storage Device Problems,4832156535,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,11
user7202@example.com,Memory(RAM) problems,7934779502,Battery not charging,No,HP,Pavilion,Major,Yes,9
user6225@email.com,Memory(RAM) problems,0267692244,Battery not charging,No,HP,Pavilion,Major,Yes,14
user4993@email.com,Power Supply Unit and Power Issues,0243013122,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user7900@email.com,Memory(RAM) problems,3575511888,Battery not charging,No,HP,Pavilion,Major,Yes,7
user6103@example.com,Memory(RAM) problems,9702953077,Battery not charging,No,HP,Pavilion,Major,Yes,10
user3814@example.com,Motherboard and CPU issues,7109887467,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user3128@test.com,Memory(RAM) problems,9616205484,Battery not charging,No,HP,Pavilion,Major,Yes,1
user3201@email.com,Memory(RAM) problems,2049505258,Battery not charging,No,HP,Pavilion,Major,Yes,7
user2207@test.com,Memory(RAM) problems,8126517769,Battery not charging,No,HP,Pavilion,Major,Yes,12
user6344@email.com,Motherboard and CPU issues,6444698361,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user3192@email.com,Power Supply Unit and Power Issues,9071844581,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,13
user9358@test.com,Storage Device Problems,2500326204,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,4
user3455@test.com,Power Supply Unit and Power Issues,4393549295,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,15
user8828@example.com,Power Supply Unit and Power Issues,2697655494,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user8670@email.com,Memory(RAM) problems,1553233075,Battery not charging,No,HP,Pavilion,Major,Yes,4
user4623@example.com,Motherboard and CPU issues,9464548282,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,4
user5313@example.com,Memory(RAM) problems,2778426530,Battery not charging,No,HP,Pavilion,Major,Yes,9
user1361@test.com,Motherboard and CPU issues,6545692971,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,7
user8824@test.com,Memory(RAM) problems,8977985854,Battery not charging,No,HP,Pavilion,Major,Yes,6
user7775@email.com,Memory(RAM) problems,1342815851,Battery not charging,No,HP,Pavilion,Major,Yes,1
user8355@test.com,Memory(RAM) problems,1780658626,Battery not charging,No,HP,Pavilion,Major,Yes,15
user1455@example.com,Memory(RAM) problems,9206038909,Battery not charging,No,HP,Pavilion,Major,Yes,3
user9826@test.com,Power Supply Unit and Power Issues,1164068939,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,6
user5809@test.com,Memory(RAM) problems,9585744846,Battery not charging,No,HP,Pavilion,Major,Yes,3
user6639@email.com,Memory(RAM) problems,4767119326,Battery not charging,No,HP,Pavilion,Major,Yes,15
user1162@email.com,Motherboard and CPU issues,8031137107,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,3
user6031@email.com,Memory(RAM) problems,1063046326,Battery not charging,No,HP,Pavilion,Major,Yes,10
user3165@test.com,Power Supply Unit and Power Issues,1638297545,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,11
user1966@example.com,Memory(RAM) problems,6093736789,Battery not charging,No,HP,Pavilion,Major,Yes,4
user3594@example.com,Memory(RAM) problems,1136392699,Battery not charging,No,HP,Pavilion,Major,Yes,12
user9280@test.com,Motherboard and CPU issues,3343734791,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user1319@example.com,Memory(RAM) problems,7282508014,Battery not charging,No,HP,Pavilion,Major,Yes,5
user1815@email.com,Memory(RAM) problems,2143226096,Battery not charging,No,HP,Pavilion,Major,Yes,4
user2203@test.com,Memory(RAM) problems,6758274060,Battery not charging,No,HP,Pavilion,Major,Yes,7
user7799@test.com,Memory(RAM) problems,0293331044,Battery not charging,No,HP,Pavilion,Major,Yes,11
user3935@example.com,Graphics card and Display issues,1756014207,,Yes,Apple,MacBook Air,Minor,No,1
user5643@test.com,Memory(RAM) problems,9423627536,Battery not charging,No,HP,Pavilion,Major,Yes,10
user9649@example.com,Memory(RAM) problems,2806532312,Battery not charging,No,HP,Pavilion,Major,Yes,10
user3058@example.com,Motherboard and CPU issues,6519482735,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user3697@test.com,Memory(RAM) problems,5821866087,Battery not charging,No,HP,Pavilion,Major,Yes,15
user4367@test.com,Power Supply Unit and Power Issues,2620892841,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user3285@example.com,Motherboard and CPU issues,6882160010,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,10
user3492@example.com,Storage Device Problems,5244550100,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,15
user7508@email.com,Memory(RAM) problems,3372067104,Battery not charging,No,HP,Pavilion,Major,Yes,2
user6791@email.com,Power Supply Unit and Power Issues,0399833472,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,13
user7826@email.com,Motherboard and CPU issues,6629635001,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user3632@test.com,Memory(RAM) problems,7028565714,Battery not charging,No,HP,Pavilion,Major,Yes,6
user5147@example.com,Power Supply Unit and Power Issues,1860630902,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,13
user4764@test.com,Memory(RAM) problems,0242333650,Battery not charging,No,HP,Pavilion,Major,Yes,1
user7096@example.com,Memory(RAM) problems,7483798584,Battery not charging,No,HP,Pavilion,Major,Yes,3
user7444@example.com,Motherboard and CPU issues,6074961608,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,2
user7655@test.com,Memory(RAM) problems,0257917228,Battery not charging,No,HP,Pavilion,Major,Yes,9
user7169@test.com,Memory(RAM) problems,0689793900,Battery not charging,No,HP,Pavilion,Major,Yes,5
user8056@example.com,Memory(RAM) problems,4103863231,Battery not charging,No,HP,Pavilion,Major,Yes,12
user5033@email.com,Memory(RAM) problems,5795889697,Battery not charging,No,HP,Pavilion,Major,Yes,13
user8714@email.com,Motherboard and CPU issues,5329042194,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user9980@example.com,Memory(RAM) problems,2071797940,Battery not charging,No,HP,Pavilion,Major,Yes,13
user6670@email.com,Power Supply Unit and Power Issues,2620483222,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,10
user9489@example.com,Motherboard and CPU issues,0926427109,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user9957@email.com,Memory(RAM) problems,3886293795,Battery not charging,No,HP,Pavilion,Major,Yes,10
user5086@test.com,Memory(RAM) problems,5963190027,Battery not charging,No,HP,Pavilion,Major,Yes,1
user2324@example.com,Motherboard and CPU issues,1982564672,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,13
user7638@email.com,Power Supply Unit and Power Issues,4914036366,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,5
user3617@email.com,Power Supply Unit and Power Issues,4311774748,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,9
user7787@example.com,Motherboard and CPU issues,5899983181,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user8226@example.com,Motherboard and CPU issues,9077824813,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user8218@test.com,Memory(RAM) problems,0633479790,Battery not charging,No,HP,Pavilion,Major,Yes,12
user7764@email.com,Memory(RAM) problems,4571085572,Battery not charging,No,HP,Pavilion,Major,Yes,7
user6324@example.com,Motherboard and CPU issues,5011494527,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user7568@email.com,Storage Device Problems,4392380427,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,2
user7440@email.com,Memory(RAM) problems,7816739725,Battery not charging,No,HP,Pavilion,Major,Yes,3
user4629@example.com,Memory(RAM) problems,4715426552,Battery not charging,No,HP,Pavilion,Major,Yes,11
user5779@example.com,Memory(RAM) problems,9800035307,Battery not charging,No,HP,Pavilion,Major,Yes,2
user7497@email.com,Storage Device Problems,2612900439,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,14
user4503@example.com,Power Supply Unit and Power Issues,0146569831,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,14
user6587@email.com,Power Supply Unit and Power Issues,8387819257,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,7
user9997@email.com,Motherboard and CPU issues,2220218198,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,5
user4066@example.com,Memory(RAM) problems,3367378859,Battery not charging,No,HP,Pavilion,Major,Yes,4
user5280@example.com,Memory(RAM) problems,0270942251,Battery not charging,No,HP,Pavilion,Major,Yes,1
user7572@example.com,Memory(RAM) problems,5367433390,Battery not charging,No,HP,Pavilion,Major,Yes,5
user6619@example.com,Power Supply Unit and Power Issues,9244609198,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,9
user9072@example.com,Memory(RAM) problems,2921380128,Battery not charging,No,HP,Pavilion,Major,Yes,9
user9874@example.com,Memory(RAM) problems,5121269780,Battery not charging,No,HP,Pavilion,Major,Yes,4
user1577@example.com,Motherboard and CPU issues,6764929450,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user1632@example.com,Storage Device Problems,4466047137,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,9
user9226@email.com,Motherboard and CPU issues,2279039458,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user2969@example.com,Power Supply Unit and Power Issues,2283547871,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,12
user6028@email.com,Memory(RAM) problems,8156303145,Battery not charging,No,HP,Pavilion,Major,Yes,1
user6100@email.com,Memory(RAM) problems,6138043069,Battery not charging,No,HP,Pavilion,Major,Yes,3
user7838@test.com,Power Supply Unit and Power Issues,0377694067,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,12
user8926@test.com,Memory(RAM) problems,5010377005,Battery not charging,No,HP,Pavilion,Major,Yes,10
user3049@test.com,Memory(RAM) problems,7058898997,Battery not charging,No,HP,Pavilion,Major,Yes,6
user3447@test.com,Power Supply Unit and Power Issues,0900060041,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,4
user5562@example.com,Memory(RAM) problems,6057523600,Battery not charging,No,HP,Pavilion,Major,Yes,5
user1726@example.com,Memory(RAM) problems,2830916167,Battery not charging,No,HP,Pavilion,Major,Yes,14
user1686@example.com,Memory(RAM) problems,0688478287,Battery not charging,No,HP,Pavilion,Major,Yes,13
user2803@example.com,Graphics card and Display issues,5613414465,,Yes,Apple,MacBook Air,Minor,No,2
user9770@email.com,Power Supply Unit and Power Issues,7993097722,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,1
user7654@test.com,Memory(RAM) problems,6786229629,Battery not charging,No,HP,Pavilion,Major,Yes,11
user8723@email.com,Power Supply Unit and Power Issues,6017378250,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,13
user3105@example.com,Power Supply Unit and Power Issues,6291658159,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,7
user7679@test.com,Memory(RAM) problems,7408189595,Battery not charging,No,HP,Pavilion,Major,Yes,3
user9595@test.com,Motherboard and CPU issues,5757470131,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,11
user3521@email.com,Storage Device Problems,6776650012,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,10
user2943@test.com,Power Supply Unit and Power Issues,7362973432,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,14
user3332@email.com,Motherboard and CPU issues,3841896618,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,7
